   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1  -21   0.709842     6.294488    -1.896110      6.57387   40.02918    0.00110    6
   1    1   21   0.709842    -4.420627    -2.827072      5.24731   40.02918    0.00070    6
   0    5   16   0.705510   -39.161954    -0.418574      39.1642   40.28554    0.03864    6
   6    1  -10   0.705458    -5.759089    -0.060427      5.75941   40.28864    0.00084    6
   7   -1  -10   0.705458   -87.946149     4.563881      88.0645   40.28864    0.19533    6
   1    3   19   0.704800    28.635063    -0.274834      28.6364   40.32791    0.02061    6
   3    1  -19   0.704800    58.058454     2.300457       58.104   40.32791    0.08485    6
   7    0    7   0.704696    14.923360    -0.099339      14.9237   40.33410    0.00560    6
  -3   -5   -7   0.704696    88.150247     6.310844      88.3759   40.33410    0.19622    6
  -5   -3    7   0.704696    84.425259     5.984763      84.6371   40.33410    0.17997    6
   2    6    5   0.703205   -16.045520    51.054808      53.5168   40.42335    0.07160    6
   6    2   -5   0.703205    19.800108     2.654574      19.9773   40.42335    0.00998    6
